Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,CX3 V12
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,129,0
10,22,0
20,16,0
30,9,0
40,2,0
50,4,0
60,7,0
70,5,0
80,11,0
90,6,0
100,3,0
110,3,0
120,4,0
130,4,0
140,6,0
150,3,0
160,9,0
170,7,0
180,3,0
190,5,0
200,8,0
210,8,0
220,5,0
230,4,0
240,12,0
250,8,0
260,7,0
270,3,0
280,6,0
290,8,0
300,6,0
310,14,0
320,2,0
330,4,0
340,2,0
350,6,0
360,7,0
370,7,0
380,8,0
390,9,0
400,10,0
410,6,0
420,5,0
430,6,0
440,10,0
450,8,0
460,9,0
470,4,0
480,7,0
490,8,0
500,7,0
510,3,0
520,12,0
530,9,0
540,10,0
550,9,0
560,11,0
570,3,0
580,9,0
590,7,0
600,8,0
610,12,0
620,7,0
630,6,0
640,4,0
650,9,0
660,11,0
670,8,0
680,5,0
690,10,0
700,7,0
710,6,0
720,13,0
730,6,0
740,20,0
750,14,0
760,17,0
770,15,0
780,11,0
790,11,0
800,17,0
810,5,0
820,9,0
830,11,0
840,12,0
850,7,0
860,14,0
870,10,0
880,11,0
890,14,0
900,18,0
910,8,0
920,16,0
930,11,0
940,17,0
950,13,0
960,10,0
970,10,0
980,14,0
990,15,0
1000,14,0
1010,14,0
1020,7,0
1030,11,0
1040,7,0
1050,6,0
1060,15,0
1070,11,0
1080,14,0
1090,15,0
1100,8,0
1110,10,0
1120,21,0
1130,7,0
1140,12,0
1150,5,0
1160,12,0
1170,6,0
1180,10,0
1190,8,0
1200,22,0
1210,14,0
1220,12,0
1230,7,0
1240,6,0
1250,7,0
1260,12,0
1270,15,0
1280,6,0
1290,7,0
1300,17,0
1310,10,0
1320,12,0
1330,8,0
1340,12,0
1350,3,0
1360,20,0
1370,22,0
1380,7,0
1390,8,0
1400,15,0
1410,15,0
1420,14,0
1430,10,0
1440,12,0
1450,14,0
1460,16,0
1470,21,0
1480,19,0
1490,15,0
1500,14,0
1510,13,0
1520,18,0
1530,7,0
1540,16,0
1550,10,0
1560,16,0
1570,16,0
1580,16,0
1590,17,0
1600,12,0
1610,15,0
1620,15,0
1630,14,0
1640,24,0
1650,11,0
1660,14,0
1670,9,0
1680,9,0
1690,18,0
1700,27,0
1710,18,0
1720,20,0
1730,13,0
1740,10,0
1750,17,0
1760,18,0
1770,28,0
1780,34,0
1790,34,0
1800,56,0
1800.0,0,2
1801.0,0,3
1802.0,0,4
1803.0,0,3
1804.0,0,5
1805.0,0,4
1806.0,0,3
1807.0,0,5
1808.0,0,2
1809.0,0,5
1810,48,0
1810.0,0,5
1811.0,0,1
1812.0,0,1
1813.0,0,4
1814.0,0,3
1815.0,0,5
1816.0,0,4
1817.0,0,4
1818.0,0,4
1819.0,0,3
1820,9843,0
1820.0,0,5
1821.0,0,3
1823.0,0,4
1824.0,0,2
1825.0,0,11944
