Outcome 4 Result 4b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9995011639507823,0.998889990729774,0.9997758617791264,0.9975889590954446,0.9965323219780786,0.998323898772737
2,0.9990816285394517,0.9983422938361485,0.9994913049614793,0.9973395410708347,0.9962399831372075,0.9981178542660796
3,0.9984098641228843,0.997508164013325,0.9989854393729907,0.996674426338545,0.9954690339528093,0.9975595360846842
4,0.9979059984331945,0.9969025750243053,0.9985845894915575,0.9962587296308628,0.9949923633594783,0.9972052980882716
5,0.9973179571848542,0.9962094829126118,0.9981025851003514,0.9953441968739607,0.9939544173535124,0.9964150652852404
6,0.997065918277303,0.9959158426923973,0.9978924817390511,0.9940971067509156,0.9925570035034702,0.995319283775156
7,0.9964777283710213,0.995236820803484,0.9973957765973475,0.9936814100432327,0.9920947926642195,0.9949503954942557
8,0.9960575572931111,0.9947562333618031,0.9970364181201898,0.9934319920186243,0.9918181991911259,0.9947283237160836
9,0.9955532669088599,0.9941834575632198,0.9966010344594742,0.9929331559694048,0.9912665233067215,0.9942826582413764
10,0.995132918459735,0.9937088912875065,0.9962352199201743,0.9926005986032602,0.9908997758307201,0.9939845046135044
11,0.9947125344962087,0.9932365590531549,0.9958670803303405,0.9922680412371145,0.9905337944103879,0.9936855802671108
12,0.9944602827968438,0.9929541170443904,0.9956451886573587,0.9921017625540408,0.9903510758621359,0.9935358443679729
13,0.9936192304602425,0.9920170485867944,0.9949006804465429,0.9912703691386763,0.9894399924986227,0.9927846422438914
14,0.9930301946698269,0.9913644698582144,0.9943755262691978,0.9903558363817772,0.9884421329019996,0.9919539673683297
15,0.9926935457352828,0.9909927104182222,0.9940741750695588,0.9897738609910215,0.9878092157426814,0.9914232630803924
16,0.9920200765726412,0.990251356662842,0.9934689521159932,0.9895244429664131,0.9875384199259011,0.9911953622858828
17,0.9913464359128847,0.9895126449149962,0.9928607325056423,0.9890256069171941,0.9869975962433238,0.9907387900499519
18,0.9909253747355522,0.9890522106397904,0.9924792602058709,0.9888593282341216,0.9868175399080884,0.9905863803461086
19,0.9905884971646759,0.98868449532163,0.9921733913262283,0.9886930495510481,0.9866375887049091,0.9904338651708334
20,0.9902515909501818,0.9883173048000714,0.9918669389354768,0.9881110741602929,0.9860085555133142,0.9898992635719506
21,0.9898304581820647,0.9878590604751741,0.991483129093763,0.9876122381110745,0.9854703197955887,0.9894400952967813
22,0.9897462244608339,0.9877674981642278,0.9914062659492487,0.987196541403392,0.9850224109491722,0.9890568324418534
23,0.9893249482948081,0.9873100137273745,0.9910214045455928,0.9869471233787832,0.9847539245334711,0.9888266151586511
24,0.989072139534597,0.9870358237595203,0.9907900995797466,0.9866145660126381,0.9843962334810044,0.9885193672142047
25,0.98881930923308,0.9867618613818203,0.9905585233495963,0.9865314266711006,0.984306861385651,0.9884425044361694
26,0.9885664358269165,0.9864880928656171,0.9903266658984309,0.9863651479880285,0.9841281767164276,0.9882887192160443
27,0.9882292425342308,0.986123401745305,0.990017130936522,0.9858663119388108,0.9835925863483425,0.9878268988363772
28,0.987976325990331,0.985850124058418,0.9897846954792959,0.9849517791819097,0.9826123811045406,0.986978513948529
29,0.9874704929025288,0.9853042229686506,0.9893191706716611,0.9847023611573003,0.9823454156222614,0.9867467722793429
30,0.9873018098665002,0.9851223583288654,0.9891637476415334,0.9845360824742267,0.982167521423592,0.9865921948802457
