Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
2821 patients in Cohort 1 and 178240 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,102073,100%,11.246637,4.664956,0,17,2626138,100%,5.778431,5.5106797,0,17,0,1.0710716,100829,100%,11.208987,4.6726503,0,17,100829,100%,11.218717,4.6696963,0,17,0.64002436,0.002082848
Age,Current Age,,102073,100%,21.6329,5.6023345,5,37,2626138,100%,16.437918,6.5489845,6,37,0,0.85246545,100829,100%,21.594263,5.608531,5,37,100829,100%,22.207935,5.747547,6,37,0,0.10807017
2186-5,Not Hispanic or Latino,,73276,71.788%,,,,,1605196,61.124%,,,,,0,0.22731747,72321,71.726%,,,,,72378,71.783%,,,,,0.77798355,0.0012557148
2106-3,White,,68697,67.302%,,,,,1429525,54.434%,,,,,0,0.26597154,67736,67.179%,,,,,67770,67.213%,,,,,0.8718859,0.0007182211
M,Male,,57459,56.292%,,,,,1311145,49.927%,,,,,0,0.12781367,56794,56.327%,,,,,56710,56.244%,,,,,0.70609677,0.0016795109
F,Female,,44555,43.65%,,,,,1311654,49.946%,,,,,0,0.12643057,43977,43.615%,,,,,43898,43.537%,,,,,0.72275174,0.0015801047
UN,Unknown Ethnicity,,17585,17.228%,,,,,619157,23.577%,,,,,0,0.15803623,17409,17.266%,,,,,17349,17.206%,,,,,0.723522,0.0015755269
2054-5,Black or African American,,15093,14.786%,,,,,526563,20.051%,,,,,0,0.13913833,14991,14.868%,,,,,14988,14.865%,,,,,0.9850178,0.00008363424
2135-2,Hispanic or Latino,,11212,10.984%,,,,,401785,15.299%,,,,,0,0.12798263,11099,11.008%,,,,,11102,11.011%,,,,,0.9829718,0.00009505715
UNK,Unknown Race,,7960,7.798%,,,,,334116,12.723%,,,,,0,0.16282037,7904,7.839%,,,,,7886,7.821%,,,,,0.8813909,0.00066452165
2131-1,Other Race,,5451,5.34%,,,,,187145,7.126%,,,,,0,0.07392358,5401,5.357%,,,,,5414,5.369%,,,,,0.8977541,0.00057229766
2028-9,Asian,,3138,3.074%,,,,,113266,4.313%,,,,,0,0.06571501,3095,3.07%,,,,,3082,3.057%,,,,,0.86658305,0.00074822514
1002-5,American Indian or Alaska Native,,481,0.471%,,,,,13091,0.498%,,,,,0.22459929,0.0039240145,477,0.473%,,,,,473,0.469%,,,,,0.89650005,0.00057935645
F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,,4072,3.989%,,,,,89806,3.42%,,,,,1.1819113e-22,0.030161582,4024,3.991%,,,,,4187,4.153%,,,,,0.066267885,0.008179791
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,2554,2.502%,,,,,40744,1.551%,,,,,0,0.06750076,2480,2.46%,,,,,3082,3.057%,,,,,2.7078743e-16,0.036462698
F30-F39,Mood [affective] disorders,,1650,1.616%,,,,,22892,0.872%,,,,,0,0.06723137,1605,1.592%,,,,,1699,1.685%,,,,,0.09916753,0.0073437905
F80-F89,Pervasive and specific developmental disorders,,1405,1.376%,,,,,70880,2.699%,,,,,0,0.093709946,1396,1.385%,,,,,1546,1.533%,,,,,0.0053383866,0.012407716
F01-F09,Mental disorders due to known physiological conditions,,2336,2.289%,,,,,1290,0.049%,,,,,0,0.20949998,1092,1.083%,,,,,1066,1.057%,,,,,0.573633,0.002506147
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,552,0.541%,,,,,4233,0.161%,,,,,0,0.0642199,529,0.525%,,,,,546,0.542%,,,,,0.60314536,0.00231541
Z81,Family history of mental and behavioral disorders,,0,0%,,,,,0,0%,,,,,,,0,0%,,,,,0,0%,,,,,,
9083,BMI,,28466,27.888%,22.356525,5.502541,0.11,66.87934,781324,29.752%,19.18183,5.3999047,0.1,70,0,0.5823565,27920,27.69%,22.331879,5.5072002,0.11,66.87934,27891,27.662%,22.383738,5.8616977,0.9,66,0.2814262,0.009118677
9083,BMI,,28490,27.911%,,,,,781666,29.765%,,,,,4.875099e-37,0.04092277,27944,27.714%,,,,,27894,27.665%,,,,,0.8034916,0.0011082216
