Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,CX1 V12
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1800.0,43,27
1801.0,41,23
1802.0,35,31
1803.0,54,26
1804.0,58,18
1805.0,52,23
1806.0,53,41
1807.0,40,25
1808.0,45,27
1809.0,40,26
1810.0,40,19
1811.0,47,21
1812.0,48,28
1813.0,43,37
1814.0,55,37
1815.0,58,36
1816.0,36,26
1817.0,32,28
1818.0,39,23
1819.0,52,28
1820.0,49,34
1821.0,60,28
1822.0,43,26
1823.0,38,37
1824.0,34,33
1825.0,99694,100121
