Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,CX1 V12
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1800.0,43,685
1801.0,42,673
1802.0,35,650
1803.0,55,640
1804.0,59,593
1805.0,52,718
1806.0,53,914
1807.0,40,766
1808.0,47,660
1809.0,40,638
1810.0,41,633
1811.0,47,629
1812.0,49,819
1813.0,43,879
1814.0,56,804
1815.0,60,668
1816.0,36,571
1817.0,34,593
1818.0,39,573
1819.0,52,820
1820.0,49,959
1821.0,60,796
1822.0,44,689
1823.0,38,678
1824.0,34,710
1825.0,100925,2608380
