Outcome 3 Result 3b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
228 patients in Cohort 1 and 285 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.99997017922287,0.9999075415103421,0.9999903820635332,0.9999303787396562,0.9998539675976361,0.9999668085787509
2,0.9999502987047834,0.9998805952861158,0.9999793126384596,0.9999005410566504,0.9998151587653196,0.9999464844176725
3,0.9999403584457406,0.9998672499629466,0.9999732049537793,0.9998806492679821,0.9997898515998676,0.9999322178148142
4,0.9999204779276553,0.9998409932285985,0.9999602304085022,0.9998707033736464,0.9997773371580951,0.9999249210594113
6,,,,0.9998607574793121,0.999764904540793,0.9999175309438272
7,0.9999105376686114,0.9998280682239028,0.999953450429011,0.9998508115849778,0.9997525468126336,0.9999100567300451
8,0.999900597409568,0.9998152634909272,0.9999465147400185,0.999840865690642,0.9997402578930114,0.9999025062390681
9,,,,0.9998309197963082,0.9997280324336372,0.999894886147039
10,0.9998906571505255,0.999802567711987,0.9999394444350432,,,
12,0.9998807168914822,0.9997899706634477,0.9999322562208354,,,
13,0.9998707766324383,0.9997774633118088,0.9999249635998989,,,
14,,,,0.9998209739019732,0.9997158657118302,0.9998872022073284
15,0.9998608363733956,0.9997650377382682,0.9999175776716887,0.9998110280076372,0.9997037535397126,0.999879459420075
16,0.9998508961143528,0.9997526870114283,0.99991010769294,,,
17,0.9998310155962654,0.9997281865211113,0.9998949457059008,,,
18,,,,0.9998010821133039,0.9996916921877343,0.9998716621636138
19,0.999821075337223,0.9997160266923727,0.9998872661200825,,,
21,0.9998111350781793,0.9997039213824066,0.9998795277200728,0.9997911362189681,0.9996796783205162,0.99986381429777
22,0.9998011948191363,0.9996918668637748,0.9998717348817243,,,
23,0.9997713740420064,0.9996559763768249,0.9998480661989755,,,
24,0.999751493523921,0.999632250475326,0.9998320751755444,0.9997811903246336,0.9996677089430718,0.9998559192460873
25,,,,0.9997712444302989,0.9996557813555997,0.9998479800619716
27,0.999731613005834,0.9996086651051397,0.9998159372243834,0.9997612985359641,0.9996438931154056,0.9998399994824797
28,,,,0.9997513526416293,0.9996320420046857,0.9998319799724398
29,0.999721672746791,0.9995969205955726,0.9998078181049036,0.9997314608529593,0.9996084432647859,0.9998158328718524
30,0.9997117324877488,0.9995852060854514,0.9997996678555254,,,
31,0.9996819117106187,0.9995502287686081,0.9997750451751655,0.9997215149586243,0.9995966920976845,0.9998077091492201
33,0.9996719714515755,0.9995386209760241,0.9997667846857219,0.9997115690642902,0.9995849709470438,0.9997995542790342
34,0.9996520909334888,0.9995154758898339,0.9997501912005499,0.9997016231699553,0.9995732783802277,0.9997913698075179
35,0.9996322104154027,0.999492418561368,0.9997335076441703,,,
37,,,,0.99969167727562,0.9995616130739189,0.9997831571568627
38,0.9996222701563605,0.9994809206900955,0.9997251343200007,0.9996817313812844,0.9995499738029142,0.9997749176387365
39,0.9996123298973173,0.9994694423239361,0.9997167410403593,,,
40,,,,0.9996717854869503,0.9995383594303401,0.999766652465961
42,0.9996023896382732,0.9994579827532015,0.9997083285488193,0.9996618395926165,0.9995267688990656,0.9997583627626399
43,0.9995825091201869,0.9994351173649162,0.9996914486824965,0.999651893698281,0.9995152012241564,0.9997500495729982
44,,,,0.9996419478039461,0.9995036554862149,0.9997417138691196
46,0.999572568861145,0.999423710323936,0.999682982583861,0.9996320019096118,0.9994921308254744,0.999733356557738
47,,,,0.9996220560152765,0.9994806264365594,0.9997249784862329
49,0.9995626286021012,0.9994123196257884,0.9996744998319861,,,
51,0.9995526883430577,0.9994009447394637,0.9996660009786377,,,
52,0.9995427480840143,0.9993895851619877,0.999657486545733,,,
55,0.9995328078249716,0.9993782404164022,0.999648957027557,0.9996121101209423,0.9994691415638236,0.9997165804479385
56,,,,0.9996021642266057,0.999457675497173,0.9997081631868462
58,0.9995228675659278,0.9993669100499253,0.9996404128927671,,,
59,0.9995129273068848,0.9993555936322805,0.9996318545862222,0.9995922183322725,0.9994462275683474,0.9996997274018128
60,0.9995029870478429,0.9993442907541632,0.9996232825306373,,,
62,,,,0.9995822724379372,0.9994347971475506,0.9996912737502883
63,,,,0.9995723265436021,0.9994233836404524,0.9996828028516903
65,0.9994930467887987,0.9993330010258391,0.9996146971280953,0.9995623806492671,0.9994119864854596,0.9996743152904078
66,0.9994731662707131,0.9993104595499425,0.9995974877955346,,,
68,,,,0.9995524347549325,0.9994006051512601,0.9996658116185179
69,,,,0.9995424888605986,0.9993892391345944,0.9996572923582338
70,0.999453285752626,0.9992879664320781,0.9995802294423891,,,
72,,,,0.9995325429662637,0.9993778879582321,0.9996487580041188
75,0.9994334052345408,0.9992655191410095,0.9995629246698006,0.9995126511775935,0.9993552283367864,0.9996316458662826
76,0.9994234649754967,0.9992543119484206,0.9995542556275152,,,
79,0.9994135247164535,0.9992431153584295,0.9995455758564689,,,
83,0.9994035844574116,0.9992319291105506,0.9995368856234697,,,
84,0.9993936441983676,0.9992207529547693,0.999528185184432,,,
85,,,,0.9995027052832587,0.9993439190516441,0.9996230689506257
86,,,,0.9994927593889237,0.9993326229237577,0.9996144786804413
90,,,,0.9994828134945887,0.9993213395814781,0.999605875438788
91,0.9993737636802809,0.9991984299683987,0.9995107546611026,,,
93,,,,0.9994728676002538,0.9993100686702824,0.9995972595907348
94,0.999353883162195,0.9991761445876964,0.9994932861382463,,,
95,0.9993240623850649,0.9991427833918509,0.9994670158164274,0.9994629217059193,0.9992988098516926,0.999588631484523
98,0.999314122126023,0.9991316800555168,0.9994582418189767,,,
101,0.9993041818669789,0.9991205849489001,0.9994494595169564,,,
105,0.9992644208308074,0.9990762834774297,0.9994142506662057,,,
106,,,,0.9994529758115838,0.9992875628022778,0.9995799914526321
107,0.9992445403127197,0.9990541779288774,0.9993966006791015,,,
109,,,,0.999443029917249,0.9992763272127416,0.999571339812765
110,0.9992246597946339,0.9990321009597253,0.999378921888558,,,
112,,,,0.9994330840229151,0.99926510278707,0.9995626768687482
113,0.9992147195355912,0.9990210728558685,0.9993700720338772,,,
114,0.9991848987584618,0.998988028549956,0.9993434821724827,0.9994231381285806,0.9992538892417483,0.999554002911366
116,,,,0.9994131922342459,0.9992426863050393,0.9995453182191341
117,0.9991749584994191,0.9989770267171687,0.9993346058581374,,,
118,0.9991650182403751,0.9989660311614577,0.9993257232237545,0.9994032463399107,0.9992314937163093,0.9995366230590113
119,0.9991550779813317,0.9989550417733166,0.9993168343803626,0.9993833545512407,0.9992091385920755,0.9995192023490632
120,0.9991451377222893,0.9989440584463833,0.9993079394357719,,,
121,0.9991351974632462,0.9989330810773149,0.9992990384947037,0.9993734086569063,0.9991979755854298,0.9995104772810842
122,,,,0.9993634627625705,0.9991868219834363,0.9995017427100042
123,0.9991153169451585,0.998911143813805,0.9992812190273167,,,
126,,,,0.9993535168682356,0.9991756775724598,0.9994929988540155
127,0.9991053766861162,0.998900183726748,0.9992723006960795,0.9993435709739016,0.9991645421468184,0.9994842459230762
128,0.999095436427074,0.9988892292121125,0.9992633767587396,,,
130,0.9990854961680302,0.9988782801799928,0.999254447306299,0.9993336250795669,0.9991534155083764,0.9994754841193391
132,,,,0.9993137332908966,0.9991311878360302,0.9994579346654486
133,0.9990755559089869,0.9988673365428781,0.9992455124273252,,,
134,0.9990656156499443,0.9988563982155587,0.999236572208036,0.999303787396563,0.9991200864402858,0.9994491473840629
135,0.9990457351318582,0.9988345371604784,0.9992186760821528,,,
136,0.9990258546137717,0.9988126963760394,0.999200759574612,,,
137,0.9990159143547281,0.9988017833944864,0.9991917938706489,,,
138,0.9990059740956846,0.9987908752553933,0.9991828232989313,0.9992938415022278,0.9991089931074072,0.9994403519680881
140,,,,0.999273949713557,0.9990868299732167,0.999422737401222
142,0.9989960338366413,0.9987799718875253,0.9991738479314461,,,
145,0.9989860935775984,0.9987690732213771,0.9991648678384223,0.9992640038192234,0.9990757598571032,0.9994139185706414
147,0.9989562728004688,0.998736404762929,0.9991378998832473,0.9992540579248873,0.9990646971737427,0.9994050922466152
148,0.9989463325414261,0.9987255242412063,0.9991289015572041,,,
149,0.9989363922823828,0.9987146480976643,0.9991198988323777,,,
150,0.9989264520233395,0.9987037762720352,0.9991108917696094,,,
151,0.9989165117642962,0.9986929087054215,0.999101880428349,0.9992441120305541,0.9990536417783428,0.9993962585763462
153,0.9988866909871663,0.9986603309903531,0.9990748213081576,,,
154,0.9988568702100382,0.9986277896089061,0.9990477256970965,,,
155,,,,0.9992341661362186,0.9990425935307373,0.9993874177022649
156,,,,0.999224220241883,0.9990315522951996,0.9993785697622602
157,0.9988369896919517,0.9986061148488367,0.9990296423807766,0.999214274347549,0.9990205179402406,0.9993697148898733
160,,,,0.9992043284532134,0.9990094903384226,0.9993608532144813
161,,,,0.9991943825588799,0.998998469366197,0.9993519848614896
162,0.9988270494329082,0.9985952831689666,0.9990205949992799,,,
163,0.9988071689148221,0.9985736309729739,0.9990024890281302,0.9991844366645434,0.9989874549037262,0.999343109952485
164,0.9987972286557781,0.9985628103651341,0.9989934305309266,0.9991744907702094,0.9989764468347482,0.9993342286054149
166,0.9987872883967348,0.9985519933578123,0.9989843684193626,,,
168,0.998757467619606,0.9985195635076556,0.9989571608331279,,,
169,0.9987375871015206,0.9984979608342649,0.9989390051522873,,,
170,,,,0.9991645448758746,0.9989654450464098,0.9993253409347204
171,,,,0.9991545989815391,0.9989544494291412,0.9993164470514909
172,0.9987276468424771,0.9984871645449023,0.9989299222464325,,,
173,0.998717706583434,0.9984763715686037,0.9989208360158223,0.9991446530872049,0.9989434598765214,0.9993075470635999
174,0.9987077663243895,0.9984655818674265,0.9989117464986659,,,
175,0.9986978260653476,0.998454795404153,0.9989026537324506,,,
176,0.9986779455472616,0.998433232045902,0.9988844585992468,0.9991347071928706,0.9989324762851489,0.999298641075828
178,0.9986381845110877,0.9983901426219627,0.9988480309170242,,,
180,,,,0.999124761298536,0.9989214985545273,0.9992897291899904
181,0.9986282442520459,0.9983793778383642,0.9988389163997127,,,
182,,,,0.9991148154041999,0.9989105265869499,0.9992808115050508
183,,,,0.9991048695098659,0.9988995602873989,0.9992718881172377
184,0.998618303993001,0.9983686160186299,0.9988297989092028,,,
185,,,,0.9990949236155307,0.9988885995634313,0.9992629591201381
186,0.9986083637339587,0.9983578571312343,0.9988206784772315,,,
187,0.9985984234749156,0.998347101145198,0.9988115551349658,,,
188,0.9985884832158717,0.9983363480300873,0.9988024289130285,,,
189,,,,0.9990849777211961,0.9988776443250942,0.9992540246048092
190,0.9985785429568292,0.9983255977559992,0.9987932998415104,,,
193,0.9985686026977865,0.9983148502935427,0.9987841679499778,,,
194,0.9985487221796991,0.9982933636884727,0.9987658958226084,,,
195,0.9985387819206568,0.998282624489553,0.9987567556434154,,,
196,0.9985189014025703,0.9982611541617016,0.9987384671920452,0.9990750318268606,0.9988666944848235,0.9992450846598651
197,,,,0.9990451941438566,0.9988338765108561,0.9992182330987819
198,0.9985089611435266,0.998250422979242,0.998729318973704,,,
199,,,,0.9990352482495215,0.998822947432079,0.9992092722758245
200,0.998499020884484,0.9982396944161437,0.9987201681287416,,,
202,0.9984791403663975,0.9982182450457355,0.9987018586618112,0.9990253023551866,0.9988120233464992,0.9992003064327606
203,,,,0.9990153564608519,0.9988011041791953,0.9991913356453282
204,0.9984592598483109,0.9981968058500101,0.9986835389928239,0.9990054105665178,0.9987901898571011,0.9991823599873779
207,0.9984493195892679,0.9981860900067598,0.9986743753937828,,,
208,0.9984393793302254,0.9981753766348804,0.9986652093169169,0.9989954646721827,0.9987792803089398,0.9991733795309362
209,0.998429439071182,0.9981646657110599,0.998656040785658,0.9989855187778485,0.9987683754651683,0.9991643943462731
210,0.9984095585530961,0.9981432511161725,0.998637696451867,0.9989755728835136,0.9987574752579121,0.999155404501955
212,0.9983996182940524,0.9981325474002744,0.9986285206943939,,,
213,0.9983797377759662,0.9981111470220685,0.9986101621083534,,,
214,0.9983499169988375,0.9980790637701189,0.9985826068717519,,,
216,0.9983399767397934,0.9980683738874884,0.9985734172473522,0.998935789306173,0.9987139194920635,0.9991193998431122
217,0.998320096221708,0.9980470008038161,0.9985550313012814,,,
218,0.9983101559626638,0.9980363175636531,0.9985458350189104,,,
220,,,,0.9989258434118395,0.9987030415040525,0.9991103876733924
221,0.9983002157036209,0.9980256364990036,0.9985366365560417,,,
222,0.9982902754445782,0.9980149575910104,0.9985274359316173,0.9989059516231691,0.9986812982547251,0.9990923505493201
223,0.9982803351855354,0.9980042808210887,0.9985182331643069,0.9988960057288342,0.9986704328794901,0.9990833257099351
224,0.9982703949264912,0.9979936061709177,0.9985090282725112,0.9988860598345004,0.9986595715966989,0.9990742967601604
228,0.9982604546674493,0.9979829336224425,0.998499821274374,,,
229,0.9982505144084046,0.9979722631578545,0.9984906121877731,,,
230,0.9982306338903182,0.9979509284103829,0.9984721878194679,,,
231,0.9982107533722335,0.9979296017909933,0.9984537553057082,,,
232,0.9982008131131901,0.9979189414873915,0.9984445360363974,,,
234,0.9981709923360598,0.9978869724051369,0.9984168663753976,,,
235,0.9981610520770163,0.997876319934124,0.9984076392573746,,,
237,0.9981312312998871,0.997844373973166,0.998379946428263,,,
238,0.9981014105227575,0.9978124448752994,0.9983522367028763,,,
240,0.9980914702637141,0.9978018055218466,0.998342996441473,,,
241,0.9980715897456294,0.9977805322485717,0.9983245104747117,,,
242,,,,0.9988761139401645,0.9986487143524859,0.9990652637543321
243,0.9980616494865847,0.9977698983010064,0.9983152647971967,0.9988562221514955,0.9986270117701757,0.9990471857859773
245,0.998041768968499,0.9977486357159954,0.9982967681221958,,,
246,,,,0.998846276257161,0.9986161663300693,0.99903814092633
247,0.9980318287094567,0.997738007051849,0.9982875171515077,,,
