Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
2821 patients in Cohort 1 and 178240 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.06,2,,,
0.08,31,9,9,9
0.1,47,6,5,6
0.12,100,30,26,30
0.14,155,38,44,38
0.16,136,34,33,34
0.18,231,57,57,57
0.2,62,37,36,37
0.22,186,55,53,55
0.24,111,32,38,32
0.26,166,57,53,57
0.28,107,42,43,42
0.3,106,58,49,58
0.32,122,43,51,43
0.34,91,44,43,44
0.36,64,27,29,27
0.38,72,59,54,59
0.4,52,32,36,32
0.42,73,38,40,38
0.44,30,44,30,34
0.46,64,37,42,37
0.48,28,41,28,29
0.5,39,36,36,36
0.52,23,32,21,22
0.54,31,30,31,29
0.56,26,30,26,28
0.58,16,32,16,20
0.6,26,20,24,20
0.62,12,26,12,12
0.64,25,28,25,23
0.66,10,32,10,13
0.68,18,36,18,16
0.7,88,238,88,90
0.72,37,62,37,36
0.74,1446,6593,1446,1448
0.76,1560,6820,1560,1558
0.78,149,603,149,149
0.8,3780,18677,3780,3780
0.82,5151,28890,5151,5151
0.84,4595,23693,4595,4595
0.86,7155,48597,7155,7155
0.88,11352,90578,11352,11352
0.9,10132,98042,10132,10132
0.92,14249,183735,14249,14249
0.94,12934,246554,12934,12934
0.96,14343,463113,14343,14343
0.98,12840,1408821,12840,12840
