Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
268 patients in Cohort 1 and 178240 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,29195,100%,12.699195,3.8586216,0,17,2626138,100%,5.778431,5.5106797,0,17,0,1.4548838,28570,100%,12.646168,3.8751297,0,17,28570,100%,12.664719,3.8679838,0,17,0.56685656,0.004791592
Age,Current Age,,29195,100%,21.819113,4.8071165,5,37,2626138,100%,16.437918,6.5489845,6,37,0,0.9367633,28570,100%,21.743332,4.8037143,5,37,28570,100%,23.61561,5.12129,6,37,0,0.3770922
2186-5,Not Hispanic or Latino,,21896,74.999%,,,,,1605196,61.124%,,,,,0,0.30095178,21390,74.869%,,,,,21435,75.026%,,,,,0.6639628,0.0036349536
2106-3,White,,20669,70.796%,,,,,1429525,54.434%,,,,,0,0.34311926,20143,70.504%,,,,,20148,70.522%,,,,,0.96341217,0.0003838035
M,Male,,16645,57.013%,,,,,1311145,49.927%,,,,,0,0.14243136,16297,57.042%,,,,,16299,57.049%,,,,,0.98651457,0.00014141816
F,Female,,12533,42.929%,,,,,1311654,49.946%,,,,,0,0.14105786,12256,42.898%,,,,,12208,42.73%,,,,,0.6848751,0.0033954214
UN,Unknown Ethnicity,,4518,15.475%,,,,,619157,23.577%,,,,,0,0.20545109,4438,15.534%,,,,,4378,15.324%,,,,,0.4871362,0.005813877
2054-5,Black or African American,,3824,13.098%,,,,,526563,20.051%,,,,,0,0.18779811,3773,13.206%,,,,,3783,13.241%,,,,,0.9017142,0.0010332688
2135-2,Hispanic or Latino,,2781,9.526%,,,,,401785,15.299%,,,,,0,0.1757867,2742,9.597%,,,,,2757,9.65%,,,,,0.83150184,0.0017802551
UNK,Unknown Race,,2055,7.039%,,,,,334116,12.723%,,,,,0,0.19134429,2033,7.116%,,,,,2023,7.081%,,,,,0.87059176,0.0013630108
2131-1,Other Race,,1283,4.395%,,,,,187145,7.126%,,,,,0,0.11744374,1274,4.459%,,,,,1277,4.47%,,,,,0.95154303,0.0005084444
2028-9,Asian,,900,3.083%,,,,,113266,4.313%,,,,,6.602912e-25,0.0652304,892,3.122%,,,,,886,3.101%,,,,,0.88505787,0.0012095103
1002-5,American Indian or Alaska Native,,149,0.51%,,,,,13091,0.498%,,,,,0.774556,0.0016759064,146,0.511%,,,,,150,0.525%,,,,,0.8156839,0.0019503027
F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,,1779,6.094%,,,,,89806,3.42%,,,,,0,0.12587026,1736,6.076%,,,,,1934,6.769%,,,,,0.0007283448,0.028271604
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,1646,5.638%,,,,,40744,1.551%,,,,,0,0.22085012,1577,5.52%,,,,,1349,4.722%,,,,,0.000015098193,0.03621122
F01-F09,Mental disorders due to known physiological conditions,,1612,5.521%,,,,,1290,0.049%,,,,,0,0.3372575,987,3.455%,,,,,971,3.399%,,,,,0.7129129,0.0030785445
F30-F39,Mood [affective] disorders,,942,3.227%,,,,,22892,0.872%,,,,,0,0.16679549,901,3.154%,,,,,1000,3.5%,,,,,0.020923698,0.019322865
F80-F89,Pervasive and specific developmental disorders,,479,1.641%,,,,,70880,2.699%,,,,,9.970494e-29,0.072686754,471,1.649%,,,,,588,2.058%,,,,,0.0002844001,0.030367572
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,180,0.617%,,,,,4233,0.161%,,,,,0,0.0732131,178,0.623%,,,,,193,0.676%,,,,,0.43462503,0.006537038
Z81,Family history of mental and behavioral disorders,,0,0%,,,,,0,0%,,,,,,,0,0%,,,,,0,0%,,,,,,
9083,BMI,,12507,42.84%,22.895166,5.404217,0.1,60.4,781324,29.752%,19.18183,5.3999047,0.1,70,0,0.6873927,12149,42.524%,22.84692,5.3738837,0.1,59.359467,12119,42.419%,22.8582,5.810971,9.19,60.050682,0.87525034,0.0020154743
9083,BMI,,12517,42.874%,,,,,781666,29.765%,,,,,0,0.2751478,12159,42.559%,,,,,12119,42.419%,,,,,0.7349759,0.0028322851
