Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
38 patients in Cohort 1 and 178240 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,12330,100%,13.587429,3.1029363,0,17,2626138,100%,5.778431,5.5106797,0,17,0,1.7462367,12028,100%,13.540239,3.1189592,0,17,12028,100%,13.560026,3.1118617,0,17,0.62233555,0.0063513783
Age,Current Age,,12330,100%,22.050365,4.324888,6,37,2626138,100%,16.437918,6.5489845,6,37,0,1.0113434,12028,100%,21.970486,4.3143167,6,37,12028,100%,24.466496,4.6026397,6,37,0,0.55954194
2186-5,Not Hispanic or Latino,,9374,76.026%,,,,,1605196,61.124%,,,,,0,0.32523328,9117,75.798%,,,,,9157,76.131%,,,,,0.5461405,0.0077828276
2106-3,White,,8911,72.271%,,,,,1429525,54.434%,,,,,0,0.37667993,8661,72.007%,,,,,8662,72.015%,,,,,0.98854166,0.00018518855
M,Male,,6937,56.261%,,,,,1311145,49.927%,,,,,9.8e-45,0.12718795,6771,56.294%,,,,,6782,56.385%,,,,,0.88629174,0.0018439471
F,Female,,5385,43.674%,,,,,1311654,49.946%,,,,,6.6e-44,0.12594813,5249,43.64%,,,,,5222,43.415%,,,,,0.72550076,0.0045276303
UN,Unknown Ethnicity,,1877,15.223%,,,,,619157,23.577%,,,,,0,0.21244518,1842,15.314%,,,,,1794,14.915%,,,,,0.38758856,0.011141359
2054-5,Black or African American,,1553,12.595%,,,,,526563,20.051%,,,,,0,0.20276673,1528,12.704%,,,,,1517,12.612%,,,,,0.8310943,0.0027504647
2135-2,Hispanic or Latino,,1079,8.751%,,,,,401785,15.299%,,,,,0,0.20235981,1069,8.888%,,,,,1077,8.954%,,,,,0.85640454,0.0023333733
UNK,Unknown Race,,831,6.74%,,,,,334116,12.723%,,,,,0,0.20290594,817,6.792%,,,,,814,6.768%,,,,,0.938673,0.000992106
2131-1,Other Race,,505,4.096%,,,,,187145,7.126%,,,,,5.434503e-39,0.13197266,499,4.149%,,,,,506,4.207%,,,,,0.8215357,0.002908711
2028-9,Asian,,333,2.701%,,,,,113266,4.313%,,,,,1.3752149e-18,0.0877311,330,2.744%,,,,,335,2.785%,,,,,0.84411824,0.002535509
1002-5,American Indian or Alaska Native,,42,0.341%,,,,,13091,0.498%,,,,,0.012959989,0.024423575,42,0.349%,,,,,42,0.349%,,,,,1,0
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,971,7.875%,,,,,40744,1.551%,,,,,0,0.30176982,931,7.74%,,,,,753,6.26%,,,,,0.000006863309,0.058024213
F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,,934,7.575%,,,,,89806,3.42%,,,,,0,0.18307012,912,7.582%,,,,,1066,8.863%,,,,,0.00030101297,0.046620365
F01-F09,Mental disorders due to known physiological conditions,,1143,9.27%,,,,,1290,0.049%,,,,,0,0.44834256,841,6.992%,,,,,834,6.934%,,,,,0.8592555,0.0022865525
F30-F39,Mood [affective] disorders,,548,4.444%,,,,,22892,0.872%,,,,,0,0.22349286,523,4.348%,,,,,617,5.13%,,,,,0.0043383916,0.03678828
F80-F89,Pervasive and specific developmental disorders,,207,1.679%,,,,,70880,2.699%,,,,,2.9515054e-12,0.069764555,205,1.704%,,,,,302,2.511%,,,,,0.000013364634,0.056167193
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,92,0.746%,,,,,4233,0.161%,,,,,0,0.08712779,90,0.748%,,,,,102,0.848%,,,,,0.38457248,0.011212329
Z81,Family history of mental and behavioral disorders,,0,0%,,,,,0,0%,,,,,,,0,0%,,,,,0,0%,,,,,,
9083,BMI,,5962,48.354%,23.22248,5.238634,0.15,58.74,781324,29.752%,19.18183,5.3999047,0.1,70,0,0.75953805,5775,48.013%,23.205275,5.2397323,0.15,58.74,5767,47.946%,23.214458,5.8214655,12,55.18,0.92902577,0.0016581273
9083,BMI,,5968,48.402%,,,,,781666,29.765%,,,,,0,0.38912562,5781,48.063%,,,,,5767,47.946%,,,,,0.85662454,0.002329759
