Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
134 patients in Cohort 1 and 139 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,1,,,0.9998317772731097,0.9993275414483198,0.9999579252368769
2,0.9998303359348485,0.9993217812652931,0.999957564715886,0.9997476659096645,0.999217827997311,0.9999186098944994
3,0.9998303359348485,0.9993217812652931,0.999957564715886,,,
4,0.9998303359348485,0.9993217812652931,0.999957564715886,0.9996635545462191,0.9991038229225911,0.9998737127417215
5,0.9998303359348485,0.9993217812652931,0.999957564715886,,,
6,0.9998303359348485,0.9993217812652931,0.999957564715886,,,
7,0.9998303359348485,0.9993217812652931,0.999957564715886,0.9995794431827744,0.9989898974020024,0.9998249310640782
8,0.9998303359348485,0.9993217812652931,0.999957564715886,,,
9,0.9997453452568532,0.9992106360895006,0.9999178613466968,,,
10,0.9996603328975634,0.9990952434419742,0.9998725034177043,,,
11,0.9995753133081013,0.9989799805701314,0.9998232117687432,0.99949533181933,0.9988770170942217,0.9997732409074407
12,0.9995753133081013,0.9989799805701314,0.9998232117687432,,,
13,0.9994902647831879,0.9988657448705601,0.9997709639775879,,,
14,0.9994902647831879,0.9988657448705601,0.9997709639775879,,,
15,0.9994902647831879,0.9988657448705601,0.9997709639775879,,,
16,0.9994902647831879,0.9988657448705601,0.9997709639775879,,,
17,0.9994051148202664,0.9987525716502281,0.9997163541120293,0.999411220455884,0.9987653714675775,0.9997192655686489
18,0.9994051148202664,0.9987525716502281,0.9997163541120293,,,
19,0.9994051148202664,0.9987525716502281,0.9997163541120293,,,
20,,,,0.9993271090924383,0.99865493344731,0.9996634322302278
21,0.9993199430872841,0.998640612776629,0.9996598476028818,,,
22,0.9993199430872841,0.998640612776629,0.9996598476028818,0.9992429977289933,0.9985456147465235,0.9996060490053945
23,0.9993199430872841,0.998640612776629,0.9996598476028818,,,
24,0.9992347277770526,0.9985297303536342,0.9996017448384314,,,
25,0.9992347277770526,0.9985297303536342,0.9996017448384314,,,
26,0.9992347277770526,0.9985297303536342,0.9996017448384314,,,
27,0.9992347277770526,0.9985297303536342,0.9996017448384314,,,
29,0.9992347277770526,0.9985297303536342,0.9996017448384314,,,
30,0.9991494397326874,0.9984197690836747,0.9995422626311706,,,
31,,,,0.999158886365548,0.9984373151598226,0.999547346897698
34,0.9991494397326874,0.9984197690836747,0.9995422626311706,0.9989906636386573,0.9982233992280031,0.9994266630562327
35,0.9991494397326874,0.9984197690836747,0.9995422626311706,0.9989065522752133,0.998117619820316,0.9993649370291798
36,0.9991494397326874,0.9984197690836747,0.9995422626311706,,,
38,,,,0.9987383295483215,0.997908081784008,0.9992391912890016
39,0.9990641225574045,0.9983107159010143,0.9994816033390235,,,
40,0.9989788053821212,0.9982025323718658,0.9994199264738398,0.9986542181848769,0.9978042130058175,0.9991753161093906
41,,,,0.9985701068214313,0.997700881972905,0.9991108512686987
43,0.9988934809197542,0.9980951236893177,0.9993573444617583,,,
50,0.9988934809197542,0.9980951236893177,0.9993573444617583,,,
51,0.9988934809197542,0.9980951236893177,0.9993573444617583,0.9984859954579863,0.9975980487170596,0.9990458454489168
54,0.9988081418782401,0.9979884069156014,0.9992939485966225,,,
55,0.9988081418782401,0.9979884069156014,0.9992939485966225,0.9984018840945419,0.9974956777952659,0.9989803409601327
56,,,,0.9983177727310963,0.9973937376426107,0.9989143748522129
57,0.9987227882513487,0.9978823212589284,0.9992298183566813,,,
58,0.9986374346244589,0.9977768374319925,0.9991650297709461,,,
59,0.9984667273706759,0.9975674904684294,0.9990337002428399,0.998233661367652,0.9972922000295216,0.9988479797886298
61,0.9984667273706759,0.9975674904684294,0.9990337002428399,,,
62,0.9984667273706759,0.9975674904684294,0.9990337002428399,,,
63,0.9984667273706759,0.9975674904684294,0.9990337002428399,0.9981495500042061,0.997191039606604,0.9987811847418573
65,0.9984667273706759,0.9975674904684294,0.9990337002428399,0.9980654386407598,0.9970902335222572,0.998714015553005
66,0.9984667273706759,0.9975674904684294,0.9990337002428399,,,
67,0.9984667273706759,0.9975674904684294,0.9990337002428399,,,
69,0.9984667273706759,0.9975674904684294,0.9990337002428399,,,
70,0.9983813080253611,0.9974634453311582,0.9989672102694885,,,
71,0.9982958886800473,0.9973598449311933,0.998900249298398,,,
72,0.9982958886800473,0.9973598449311933,0.998900249298398,,,
75,0.9982958886800473,0.9973598449311933,0.998900249298398,0.9979813272773164,0.9969897611004307,0.998646495386749
76,0.9982958886800473,0.9973598449311933,0.998900249298398,,,
77,0.9982104400890454,0.9972566147528811,0.9988328316816211,,,
78,0.9981249914980428,0.9971537740170772,0.9987650057136208,,,
79,0.9980395355912367,0.9970512877370896,0.9986967929837228,,,
