Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
38 patients in Cohort 1 and 178240 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.14,38,15,16,15
0.16,16,14,13,14
0.18,25,11,13,10
0.2,65,31,32,31
0.22,43,22,13,22
0.24,51,18,24,18
0.26,78,35,36,35
0.28,55,35,34,35
0.3,20,18,17,18
0.32,59,39,41,39
0.34,37,24,24,24
0.36,34,33,30,33
0.38,71,41,44,41
0.4,18,21,16,21
0.42,48,40,43,40
0.44,25,25,21,25
0.46,62,37,43,37
0.48,19,17,17,17
0.5,21,26,21,25
0.52,42,33,42,33
0.54,14,30,14,21
0.56,29,25,29,24
0.58,10,26,10,21
0.6,48,25,33,25
0.62,15,22,15,19
0.64,14,26,14,12
0.66,21,35,21,21
0.68,15,30,15,12
0.7,13,33,13,16
0.72,14,40,14,14
0.74,17,34,17,17
0.76,11,28,11,11
0.78,7,30,7,7
0.8,9,30,9,8
0.82,9,30,9,10
0.84,13,39,13,13
0.86,11,33,11,11
0.88,8,35,8,9
0.9,11,29,11,10
0.92,24,253,24,24
0.94,915,23620,915,915
0.96,3360,126110,3360,3360
0.98,6915,2475040,6915,6915
