Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,CX1 7.0
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,0,5147
10,1,451
20,0,387
30,0,300
40,2,289
50,2,155
60,5,208
70,3,138
80,4,167
90,3,139
100,5,143
110,5,116
120,3,130
130,4,112
140,4,123
150,5,102
160,7,107
170,5,111
180,10,149
190,6,112
200,9,115
210,12,106
220,7,125
230,14,70
240,14,108
250,8,94
260,14,111
270,10,78
280,18,95
290,14,102
300,18,101
310,11,94
320,14,108
330,13,72
340,18,95
350,15,88
360,27125,17260
