Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
1130 patients in Cohort 1 and 2426569 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,27946,100%,14.3717165,2.5665352,0,17,4203730,100%,5.512958,5.67297,0,17,0,2.0120635,27946,100%,14.3717165,2.5665352,0,17,27946,100%,14.3717165,2.566619,0,17,1,0
Age,Current Age,,27946,100%,23.940456,3.7985642,18,37,4203730,100%,20.413954,6.4217463,9,37,0,0.66843116,27946,100%,23.940456,3.7985642,18,37,27946,100%,29.430975,3.7833405,11,37,0,1.4483185
2186-5,Not Hispanic or Latino,,20038,71.703%,,,,,2472018,58.805%,,,,,0,0.2733756,20038,71.703%,,,,,20036,71.695%,,,,,0.9850165,0.00015887401
2106-3,White,,20012,71.61%,,,,,2329063,55.405%,,,,,0,0.34148356,20012,71.61%,,,,,20012,71.61%,,,,,1,0
M,Male,,13861,49.599%,,,,,1988555,47.305%,,,,,1.8924896e-14,0.045927927,13861,49.599%,,,,,14046,50.261%,,,,,0.11757194,0.013240122
F,Female,,13553,48.497%,,,,,2144485,51.014%,,,,,4.927961e-17,0.05035175,13553,48.497%,,,,,13552,48.494%,,,,,0.99324715,0.000071599025
UN,Unknown Ethnicity,,5630,20.146%,,,,,1047645,24.922%,,,,,0,0.114493966,5630,20.146%,,,,,5632,20.153%,,,,,0.9831736,0.00017841805
2054-5,Black or African American,,3293,11.783%,,,,,733745,17.455%,,,,,0,0.16104114,3293,11.783%,,,,,3294,11.787%,,,,,0.98953325,0.00011097897
UNK,Unknown Race,,2513,8.992%,,,,,635381,15.115%,,,,,0,0.18887754,2513,8.992%,,,,,2512,8.989%,,,,,0.98820186,0.00012509614
2135-2,Hispanic or Latino,,2278,8.151%,,,,,684067,16.273%,,,,,0,0.24996819,2278,8.151%,,,,,2278,8.151%,,,,,1,0
2131-1,Other Race,,1034,3.7%,,,,,286078,6.805%,,,,,0,0.13953747,1034,3.7%,,,,,1034,3.7%,,,,,1,0
2028-9,Asian,,763,2.73%,,,,,168086,3.998%,,,,,3.5898876e-27,0.07037946,763,2.73%,,,,,763,2.73%,,,,,1,0
1002-5,American Indian or Alaska Native,,117,0.419%,,,,,20931,0.498%,,,,,0.060523033,0.011733733,117,0.419%,,,,,117,0.419%,,,,,1,0
F30-F39,Mood [affective] disorders,,335,1.199%,,,,,13152,0.313%,,,,,0,0.10241996,335,1.199%,,,,,329,1.177%,,,,,0.8147981,0.001981608
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,147,0.526%,,,,,4226,0.101%,,,,,0,0.07619375,147,0.526%,,,,,136,0.487%,,,,,0.5121177,0.0055457284
Z81,Family history of mental and behavioral disorders,,12,0.043%,,,,,986,0.023%,,,,,0.03449465,0.010695867,12,0.043%,,,,,10,0.036%,,,,,0.6697542,0.003607946
