Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9994632505546422,0.9991098276304186,0.9996763775772588,0.9991769841837835,0.9987617574192288,0.9994530087773074
2,0.9993201173692124,0.9989343142964267,0.9995662810533625,0.9989265011092828,0.9984649988216274,0.9992493036352521
3,0.9991769841837835,0.9987617574192288,0.9994530087773074,0.9987118013311395,0.9982145747603064,0.999070618762466
4,0.9990338509983538,0.9985914840305911,0.9993373316410241,0.998640234738425,0.9981317434637234,0.9990103964020975
5,0.9989980677019964,0.9985492158972689,0.9993080993022126,0.998532884849353,0.9980080179384472,0.9989195295569344
6,,,,0.9984613182566382,0.9979258537190551,0.9988586255663915
7,0.9988191512202111,0.9983393995055192,0.9991603597252512,0.998389751663923,0.9978439253370833,0.9987974812620944
8,0.9986760180347827,0.9981731225911341,0.9990405449814524,0.9982824017748516,0.9977214427553683,0.9987053476485707
9,0.9986044514420681,0.9980904346580795,0.9989801758799653,0.9982108351821375,0.9976400419587653,0.9986436668749961
10,0.998497101552996,0.9979669053518916,0.9988891086381546,,,
11,0.9984613182566382,0.9979258537190551,0.9988586255663915,,,
12,0.9983539683675667,0.997803044863652,0.9987668238967398,0.9981750518857797,0.9975994134086293,0.9986127535533463
14,0.9983181850712085,0.9977622178800507,0.9987361121295414,,,
15,0.9982824004922036,0.9977214410538789,0.9987053466817953,0.9981034852930651,0.9975182933105196,0.9985507879400348
16,0.9982108313341945,0.9976400368834663,0.9986436639580026,0.9979961354039941,0.997396937368559,0.9984575109235647
18,0.9981392621761851,0.9975588225380297,0.9985817885822994,,,
19,,,,0.9979603521076373,0.9973565673331088,0.9984263355920722
20,0.9980676930181756,0.9974777875488368,0.9985197313382723,0.9978887855149228,0.9972759439839216,0.9983638667963105
21,0.9979961238601678,0.9973969223740234,0.9984575020375623,0.9978530022185648,0.9972356887533955,0.9983325752959685
22,0.9979245547021585,0.9973162182879026,0.9983951096383318,0.9978172189222073,0.9971954699387577,0.9983012469696556
23,0.9978529855441483,0.9972356672866806,0.9983325623457947,,,
24,0.9977456318071353,0.9971151118711876,0.9982384673074256,,,
26,,,,0.9977814356258501,0.9971552866749581,0.9982698827023062
27,,,,0.9977456523294932,0.9971151381306457,0.9982384833438915
29,0.9977098472281294,0.9970749956598391,0.9982070326394418,,,
30,0.9976382780701207,0.9969948619634993,0.9981440635845373,,,
31,0.9975667089121112,0.9969148550982075,0.9980809664726378,,,
32,0.9975309243331076,0.9968748975225281,0.9980493716333727,,,
33,0.9974951397541019,0.9968349696570855,0.9980177468159052,0.9977098690331364,0.9970750235063616,0.9982070497113241
34,0.9974235705960925,0.996755200606883,0.9979544097411522,,,
35,0.997352001438083,0.9966755432528508,0.9978909600265584,0.997602519144064,0.99695487560289,0.9981125508783674
36,0.9972804322800751,0.9965959932077436,0.9978274021340067,,,
37,0.9972446477010696,0.9965562571322834,0.997795583935945,,,
38,0.9971730759748195,0.9964768572297171,0.9977318694595813,,,
39,0.997137290111694,0.9964371940769144,0.997699975154207,0.9975667358477067,0.99691488924534,0.9980809877167631
41,0.9971015042485701,0.996397554858193,0.9976680567444756,0.9974951692549929,0.9968350069282135,0.9980177701632592
42,0.9970299325223204,0.9963183465086912,0.9976041493508908,0.9974236026622775,0.9967552409860057,0.9979544352022808
43,0.9970299325223204,0.9963183465086912,0.9976041493508908,,,
45,0.9969941453747077,0.996278774962195,0.9975721601667643,,,
46,0.9969225710794798,0.9961996983434234,0.997508114892403,,,
47,,,,0.99738781936592,0.9967154001763607,0.9979227251996964
48,,,,0.9973520360695638,0.9966755867249898,0.997890987611436
49,0.9968152096366375,0.9960812440078354,0.9974118853814881,0.9973162527732052,0.996635800092965,0.9978592229855332
50,0.9967794224890235,0.9960418006346948,0.9973797672219076,0.997280469476848,0.9965960397588404,0.9978274318520739
51,,,,0.997244686180492,0.996556305217858,0.9977956147239986
52,0.9967436340565047,0.9960023758237478,0.9973476277578626,0.9972089028841339,0.9965165959812115,0.9977637720978703
53,0.9967078456239875,0.9959629708316641,0.9973154683616331,0.997173119587777,0.9964769115753592,0.9977319044546064
54,0.9966004803264339,0.9958448716527081,0.9972188737315394,,,
56,0.9965289034613969,0.9957662323887964,0.9971543832859127,0.9971373362914198,0.9964372515413545,0.9977000122601504
57,0.9964931150288803,0.9957269399604195,0.9971221107177354,,,
58,0.9964573265963617,0.9956876653052681,0.9970898202856279,,,
59,0.9964215368784318,0.9956484065967942,0.9970575111988588,0.9971015529950622,0.996397615434231,0.9976680959661232
60,0.9964215368784318,0.9956484065967942,0.9970575111988588,,,
61,0.9963857458749517,0.9956091635824061,0.99702518371383,,,
62,0.9963499548714727,0.9955699375760464,0.9969928391398587,,,
63,0.9963499548714727,0.9955699375760464,0.9969928391398587,0.9970657696987044,0.9963580028224119,0.99763615601043
64,0.9963499548714727,0.9955699375760464,0.9969928391398587,,,
66,0.9962783651495484,0.9954915262677011,0.9969280933404222,,,
67,0.9961709805666631,0.9953740309930337,0.9968308524228725,0.99699420310599,0.9962788464220202,0.9975722068005232
68,0.9960635921250481,0.9952566717735865,0.9967334670082264,,,
70,0.9959919998306388,0.9951785076859253,0.9966684677060645,0.9969584198096336,0.9962393018323777,0.9975401983585819
71,0.9959562011102083,0.9951394445698228,0.9966359438084099,0.9968868532169194,0.9961602779572424,0.9974761157437445
72,0.9958846036693461,0.9950613614425527,0.9965708527495349,,,
73,0.9958488049489151,0.9950223410627825,0.9965382859596577,,,
74,0.995813006228484,0.9949833345663759,0.9965057052371138,0.9968510699205618,0.9961207979373656,0.9974440423149491
75,0.9957056100671909,0.9948663966485489,0.9964078812146173,,,
76,0.9956340126263294,0.9947885043459711,0.9963425986657206,,,
77,0.9955982139058978,0.9947495776051544,0.9963099379167116,,,
78,0.9955982139058978,0.9947495776051544,0.9963099379167116,,,
79,0.9955624138982063,0.9947106620634485,0.9962772633130805,,,
80,0.9954908138828231,0.9946328685848681,0.9962118763828167,,,
82,0.9954550138751308,0.9945939903542267,0.9961791643518134,,,
83,,,,0.9968152866242047,0.9960813387233785,0.9974119479505882
84,0.9953834138597479,0.9945162701971114,0.9961137038756425,,,
85,0.995347611276701,0.994477424936445,0.9960809535400261,0.9967795033278464,0.9960418999730247,0.9973798329972441
86,0.9953118086936557,0.9944385914161886,0.9960481914307273,,,
87,,,,0.9967079367351321,0.9959630825403326,0.99731554266288
88,0.9953118086936557,0.9944385914161886,0.9960481914307273,,,
90,0.9952760035346975,0.994399766450386,0.9960154155081411,,,
91,0.9950969777399106,0.9942058113480561,0.9958513657223204,,,
92,0.9950611712925803,0.9941670518920007,0.9958185215036702,,,
93,0.9950253648452511,0.9941283031903622,0.9957856665043147,,,
95,0.9949537519505914,0.9940508375957056,0.9957199246203505,,,
96,,,,0.9966721534387748,0.9959237032185789,0.9972833679290197
98,0.9949179442146111,0.9940121189619526,0.9956870368656441,,,
99,0.9948463287426509,0.9939347125222892,0.9956212304579805,0.9966363701424188,0.9958843430809841,0.9972511739011695
100,0.9948105184288135,0.9938960214730683,0.9955883098257938,,,
103,0.9947747068258604,0.9938573389093145,0.9955553780749884,0.996564803549704,0.9958056791695289,0.9971867291659783
104,0.9947388952229064,0.993818666247104,0.9955224364022902,,,
105,0.9945598307616405,0.9936254404812354,0.9953575771478599,0.9965290202533459,0.9957663748202914,0.9971544790405368
106,0.994524017869387,0.9935868236902989,0.9953245768804708,0.9964932369569897,0.99572708850392,0.9971222107854549
108,0.994524017869387,0.9935868236902989,0.9953245768804708,0.9964574536606323,0.9956878199505246,0.9970899246735544
110,0.99448820110784,0.9935482116102863,0.9952915640505421,,,
112,0.99448820110784,0.9935482116102863,0.9952915640505421,,,
113,0.9944523830562979,0.993509607177366,0.9952585409461389,0.9964216703642741,0.9956485688968962,0.9970576209708641
114,0.9943449289016665,0.9933938479603086,0.9951594174626371,,,
115,0.9942732902180278,0.9933167163626546,0.9950932886329918,,,
118,0.9942374695857464,0.9932781620823761,0.9950602100682258,,,
119,0.994201648953466,0.9932396163798182,0.9950271229131662,,,
120,0.9941300076889051,0.9931625503959423,0.9949609231450047,0.9963858870679168,0.9956093350862769,0.9970252999368536
121,0.9940941857658833,0.9931240284587141,0.9949278095769819,0.9963143204752029,0.995530918197966,0.9969606068812727
122,0.9940583612610089,0.9930855117896698,0.9948946855065152,,,
123,0.9940225367561345,0.9930470033227499,0.9948615532235388,0.996278537178845,0.9954917346370757,0.9969282353478028
125,0.9939508877463845,0.9929700107058064,0.9947952643102703,0.9962427538824874,0.9954525673524064,0.9968958474596182
126,0.9938434142317604,0.9928545815147499,0.9946957711326259,,,
127,0.9937359407171374,0.9927392223669059,0.9945962078277442,0.996171187289773,0.995374280706533,0.9968310235331189
129,0.9937001162122616,0.992700784574471,0.9945630047846724,0.9961354039934167,0.9953351609057312,0.9967985879386071
130,0.9936284646193551,0.9926239285003526,0.9944965739402668,,,
131,0.9935926375311374,0.9925855100960941,0.9944633462620482,0.9960638374007023,0.9952569672866722,0.9967336705587133
132,0.9935568104429197,0.9925470990297616,0.9944301112382457,0.9960280541043448,0.9952178930579832,0.9967011891875242
133,0.9934134917540709,0.9923935150121921,0.994297089935604,,,
134,0.9933776620818592,0.9923551367686276,0.9942638168326776,0.9959922708079866,0.9951788336171418,0.996668692963946
135,0.9933418324096467,0.9923167655155071,0.9942305367329429,,,
136,0.9933418324096467,0.9923167655155071,0.9942305367329429,,,
137,0.9932701704803895,0.9922400407781202,0.9941639535239932,0.9959564875116296,0.995139788770088,0.9966361820837587
138,0.9931985085511312,0.9921633433492103,0.994097342983441,,,
139,0.9931626775865028,0.9921250047422272,0.9940640275972508,,,
140,0.993091013071759,0.9920483445068781,0.9939973746079122,0.9959207042152725,0.9951007583269772,0.9966036567384604
141,0.9930551782284339,0.9920100212905678,0.9939640359816531,,,
142,,,,0.9958849209189157,0.9950617421020574,0.996571117115402
143,0.9930193433851086,0.9919717045939396,0.9939306908312486,,,
144,0.9929476736984576,0.991895090562384,0.9938639811556235,,,
145,0.9928760040118066,0.991818502023719,0.993797245970062,0.9958491376225578,0.9950227399135434,0.9965385633979091
148,0.9928043343251565,0.9917419385991293,0.9937304856538923,0.9958133543262011,0.9949837515835045,0.9965059957654072
149,0.9926609949518569,0.9915888856233016,0.9935968911005437,,,
