Outcome 5 Result 5b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
3685 patients in Cohort 1 and 373 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9997114710852809,0.9993948758123824,0.9998624380934746,0.999383454829,0.9990084146343543,0.9996166734831693
2,0.9994641605869504,0.9990773617708724,0.999688826486956,0.9990933159249982,0.9986584656809285,0.9993872553303716
3,0.9992580685050075,0.9988226669985635,0.9995324874278398,0.998948246472998,0.9984868644049297,0.9992689964044575
4,0.9991344132558428,0.9986727349340595,0.9994355459216567,,,
5,0.9990931948394538,0.9986231437495277,0.9994028210722916,0.998875711746999,0.9984017123386317,0.9992091942338036
6,0.9988046659247355,0.9982803523276392,0.9991691849531689,0.9987669096579987,0.9982746875778891,0.9991187654852975
7,0.9983924817608498,0.9978004770435948,0.9988252413689641,0.998585572842999,0.9980646093202752,0.9989663773482484
8,0.9983512633444614,0.9977529747016093,0.9987903493670142,0.998513038116999,0.9979810781296475,0.998904910380771
9,0.9982276080952965,0.9976109092539952,0.9986852226309756,0.9984042360279975,0.99785625585078,0.9988122258266294
10,0.9980215160133551,0.9973754650418265,0.998508655099518,0.9982591665759972,0.997690627835837,0.998687830186205
11,0.9978566423478007,0.997188166335994,0.9983663272742005,,,
12,0.9977329870986353,0.9970482403344861,0.9982590255673469,0.9981866318499975,0.9976081263452876,0.9986253147405498
13,0.9976093318494712,0.9969087432231541,0.9981512894328334,0.9979690276719979,0.9973617345662429,0.9984366396657698
14,0.9973208029347507,0.9965847460032792,0.9978983918601052,0.9978964929459984,0.997279942531382,0.9983734049918311
15,0.9969910419749048,0.9962166794032176,0.9976070999262737,0.9977514234939979,0.9971168164125965,0.9982464723438881
16,0.9967849413750016,0.9959876862131054,0.9974239851613977,0.997642621404997,0.9969948445652297,0.9981508960851072
17,0.9965788407750971,0.9957594095169686,0.9972401485608782,,,
18,0.9961666395752898,0.9953047645285564,0.996870554382624,0.9975700866789979,0.9969136955491571,0.9980870113692112
19,0.996042979215347,0.9951688194916496,0.9967592250143789,,,
20,0.9959193188554041,0.995033064500342,0.9966477045734516,0.9974975519529965,0.9968326722783527,0.9980229997141624
21,0.9957544383754816,0.9948523390319438,0.9964987280232219,0.9974612845899977,0.9967922061314375,0.9979909479824903
22,0.9956307780155395,0.9947169958267181,0.9963867937349549,0.9974250172269976,0.9967517694679932,0.9979588665058767
23,0.9953834572956554,0.9944467956235125,0.9961624367252356,0.997352482500998,0.9966709821934534,0.9978946167589591
24,0.9952185768157322,0.9942670018927395,0.9960125241836335,,,
25,0.9951773566957514,0.9942220939303045,0.9959750054122363,0.9972799477749974,0.9965903058569002,0.9978302551516138
26,0.995053696335808,0.9940874639410688,0.9958623548287663,0.9972074130489963,0.9965097361577504,0.9977657860564323
27,0.9949712560958474,0.9939977869476279,0.995787177812974,0.9969898088709966,0.9962686278073475,0.9975717735370626
28,0.9947239353759629,0.993729106502214,0.9955612949405354,0.9969535415079975,0.9962285259836541,0.9975393546316969
29,0.994476614656078,0.9934609240138477,0.9953349123783749,0.9969172741449958,0.9961884467381804,0.997506912996954
30,0.9943117341761548,0.9932823961129879,0.995183729394767,,,
31,0.9941468536962312,0.9931040662111471,0.9950323477987474,0.9968447394189965,0.9961083544389584,0.9974419631031795
32,0.9941056335762511,0.9930595137026896,0.9949944723429435,,,
33,0.993981973216309,0.9929259261345922,0.9948807758145722,0.9966996699669971,0.9959484244007316,0.9973118071584358
34,0.9938583128563667,0.9927924410444041,0.9947669765171546,,,
35,0.9937346524964229,0.9926590554020696,0.9946530774980209,0.9966271352409966,0.9958685811824687,0.9972466066555218
36,0.993363671416596,0.9922594670098864,0.9943108104160879,,,
37,0.9931163506967126,0.9919935226253687,0.994082183377226,0.9965183331519956,0.9957489614546616,0.9971486599750964
38,0.9928690299768276,0.9917279145007176,0.9938532193004579,0.9964457984259962,0.9956693082547795,0.9970832683912664
39,0.9926629293769245,0.9915068188954698,0.9936621708671137,0.996409531062997,0.9956295087984598,0.9970505453115789
40,0.99245682877702,0.9912859357855579,0.9934709094927194,0.9963007289739967,0.9955102158215943,0.9969522701377806
41,0.992250728177116,0.9910652566528211,0.9932794437311161,,,
42,0.9922095080571357,0.9910211445937588,0.9932411267649808,0.9961193921589951,0.995311730617856,0.9967881401006633
43,0.9920858476971923,0.9908888548431387,0.9931261293517012,0.996083124795996,0.9952720819378069,0.996755265504819
44,0.9920446275772118,0.9908447735364987,0.9930877815750405,0.9960105900699954,0.9951928311859991,0.9966894694936981
