Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,CX2 7.0
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
60,3,0
70,1,0
80,1,0
90,3,0
100,2,0
110,1,0
120,2,0
130,3,0
150,2,0
160,3,0
170,3,0
180,4,0
190,1,0
200,3,0
210,3,0
220,7,0
230,6,0
240,5,0
250,3,0
260,3,0
270,6,0
280,6,0
290,1,0
300,10,0
310,12,0
320,7,0
330,5,0
340,6,0
350,7,0
360,10308,0
365.00000,0,4134253
