Outcome 6 Result 6b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
1105 patients in Cohort 1 and 135 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9998927268826422,0.9992387095610081,0.9999848884375087,0.9993198600855041,0.998573866837937,0.9996756965156396
2,0.999785453765286,0.999142426035728,0.9999463381733404,0.99902837155072,0.9981949359882016,0.9994770933693907
4,0.999678180647929,0.9990025140239994,0.9998961950500183,0.9989312087057916,0.9980709086388001,0.999407962016205
6,0.9994636344132162,0.998711849991207,0.99977671476561,0.9988340458608639,0.9979478480781117,0.9993376764766516
7,0.9993563612958594,0.9985679032045919,0.999710787164458,0.9985425573260788,0.9975836367013918,0.9991211031242307
8,0.9992490881785026,0.9984255318299085,0.9996419445090254,,,
9,,,,0.9984453944811505,0.9974636623536266,0.9990473121219525
11,0.9991418150611456,0.9982847012560057,0.9995707316436411,,,
12,0.9990345419437888,0.9981452988308923,0.9994975415518411,0.9983482316362234,0.9973443094102564,0.9989728397471477
13,0.9989272688264316,0.9980071967165917,0.9994226688709381,,,
14,0.9987127225917176,0.9977344161877428,0.9992687392735801,0.998251068791295,0.997225531695349,0.9988977422410813
15,0.9986054494743618,0.9975995297624541,0.9991900085117799,,,
16,0.9983909032396482,0.9973323355448492,0.9990296203323238,0.997959580256511,0.9968722622151749,0.9986691583634844
17,0.9982836301222908,0.9971998872411594,0.9989481472740144,0.997862417411582,0.9967554177023815,0.9985919932083194
18,0.9981763570049336,0.9970681251883207,0.9988659217596597,0.997765254566654,0.9966389826991263,0.9985143956685946
19,0.9980690838875769,0.9969369984005378,0.9987830058872711,,,
20,0.997854537652864,0.9966764747129133,0.9986153122419266,0.9976680917217262,0.9965229333173334,0.9984363925070054
21,0.9977472645355077,0.9965470015342468,0.9985306233967832,,,
25,0.9975327183007935,0.9962894703282994,0.9983597471681204,0.9975709288767984,0.9964072478674268,0.998358007825473
26,,,,0.9974737660318692,0.9962919065909137,0.9982792634218896
28,0.9973181720660796,0.9960336451717177,0.9981870760578083,0.9973766031869411,0.9961768914323231,0.9982001790875766
30,0.997210898948724,0.9959063137101278,0.998100132511624,0.9972794403420139,0.9960621858438684,0.9981207728570635
32,0.9971036258313666,0.9957793424503343,0.9980128135143161,0.9971822774970857,0.9959477746174442,0.9980410612192271
33,0.996996352714009,0.995652713120143,0.9979251389794584,,,
35,,,,0.9968907889623004,0.9956061722096693,0.9978002391592324
37,0.9967818064792955,0.9954004143956567,0.9977487946166279,,,
42,,,,0.9967936261173723,0.9954928084504204,0.9977194456372803
44,0.9966745333619392,0.9952747152335327,0.9976601568471282,,,
47,0.9964599871272263,0.9950241510305748,0.9974820210923018,,,
49,,,,0.9965993004275169,0.9952667731589339,0.9975571467543337
50,0.9963527140098686,0.9948992622884878,0.9973925483490966,0.9965021375825881,0.9951540829951028,0.9974756611184464
53,0.9962454408925128,0.9947746213385857,0.997302821022742,0.9964049747376613,0.99504159974178,0.9973939633938785
57,0.9961381677751561,0.994650218247706,0.9972128496143811,,,
58,,,,0.9963078118927328,0.9949293155185387,0.9973120618712724
59,0.996030894657798,0.9945260437265356,0.9971226439196966,0.9962106490478044,0.9948172229312101,0.997229964312812
60,0.9959236215404412,0.9944020890730513,0.9970322130936062,,,
61,,,,0.9961134862028771,0.9947053150311279,0.9971476779982578
62,0.9958163484230851,0.9942783461221371,0.9969415657075128,,,
63,0.9957090753057283,0.9941548072005937,0.9968507098001428,,,
65,0.9956017906300134,0.9940314494034957,0.9967596444080664,0.9960163233579487,0.9945935852786367,0.997065209765952
66,0.9954944943922042,0.9939082660922514,0.9966683765388527,,,
67,,,,0.9959191605130208,0.9944820275103405,0.9969825660494518
69,0.995387198154396,0.9937852665795462,0.9965769213766863,,,
71,0.9952799019165872,0.9936624447833288,0.9964852852425861,0.9958219976680924,0.9943706359096159,0.9968997529103307
73,,,,0.9957248348231648,0.9942594049800259,0.9968167760676475
74,0.9952799019165872,0.9936624447833288,0.9964852852425861,,,
75,,,,0.9955305091333083,0.9940374046074419,0.9966503525918146
76,,,,0.9953361834434522,0.993815987965811,0.9964833354698347
77,0.995065286304314,0.9934172807669107,0.9963014762842592,0.9952390205985239,0.9937054875888016,0.9963996156273278
78,0.9949579784981776,0.9932949435027614,0.9962093230470004,,,
82,,,,0.9951418577535951,0.9935951204269281,0.996315760523057
83,0.9948506706920415,0.9931727627656878,0.9961170108302616,0.9950446949086675,0.9934848826625294,0.996231774095413
84,,,,0.9949475320637394,0.9933747706569749,0.9961476600944397
85,,,,0.9948503692188115,0.9932647809391641,0.9960634220942269
86,0.9947433628859051,0.9930507338887454,0.9960245444515459,0.9947532063738834,0.9931549101949475,0.9959790635042645
87,0.9946360435027045,0.9929288371714211,0.9959319197100395,,,
89,,,,0.9946560435289552,0.9930451552573925,0.9958945875798758
90,0.9946360435027045,0.9929288371714211,0.9959319197100395,,,
91,0.994528700955381,0.9928070532786356,0.9958391320782057,,,
92,0.994421358408057,0.9926854087938953,0.9957462032222141,,,
93,0.994421358408057,0.9926854087938953,0.9957462032222141,0.9945588806840274,0.9929355130978096,0.995809997431815
96,0.9943140042724189,0.9925638847073827,0.9956531282422992,,,
97,,,,0.9944617178390994,0.9928259808174651,0.9957252960351055
98,,,,0.9943645549941713,0.9927165556399243,0.9956404862372006
99,0.9942066501367822,0.9924424925719422,0.995559919725372,0.9942673921492416,0.9926072349039596,0.9955555707655181
100,0.993991941865507,0.9922000902321465,0.9953731163432178,,,
102,0.9937772335942328,0.991958175415681,0.9951858200569922,,,
105,0.9937772335942328,0.991958175415681,0.9951858200569922,0.9941702293043149,0.9924980160569862,0.9954705522344226
106,0.9937772335942328,0.991958175415681,0.9951858200569922,,,
107,0.9936698562594315,0.9918373632792481,0.9950919768965385,0.9940730664593858,0.992388896648949,0.9953854331516705
111,0.9935624789246282,0.9917166642441341,0.9949980195374186,,,
112,0.9934551015898266,0.9915960755845252,0.9949039507595355,0.9938787407695306,0.9921709468285896,0.9952149028647992
113,0.9932403469202229,0.9913552190232285,0.9947154895152016,,,
