Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
823 patients in Cohort 1 and 178915 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,27061,100%,12.373304,3.99676,0,17,2669456,100%,5.714916,5.504634,0,17,0,1.3842373,27028,100%,12.370394,3.997423,0,17,27028,100%,12.370209,3.998222,0,17,0.995708,0.000046273522
Age,Current Age,,27061,100%,22.142271,4.8345437,5,37,2669456,100%,16.388418,6.5354853,5,37,0,1.00097,27028,100%,22.141113,4.8359547,5,37,27028,100%,23.325182,5.2159243,6,37,0,0.23542331
2186-5,Not Hispanic or Latino,,20382,75.319%,,,,,1585615,59.398%,,,,,0,0.3445244,20355,75.311%,,,,,20357,75.318%,,,,,0.98408306,0.0001716152
2106-3,White,,19303,71.331%,,,,,1468496,55.011%,,,,,0,0.34330708,19274,71.311%,,,,,19273,71.308%,,,,,0.99241304,0.000081798025
M,Male,,15520,57.352%,,,,,1331096,49.864%,,,,,0,0.15057568,15505,57.366%,,,,,15468,57.23%,,,,,0.7476604,0.002767543
F,Female,,11528,42.6%,,,,,1335037,50.012%,,,,,0,0.14904891,11510,42.585%,,,,,11508,42.578%,,,,,0.98612,0.0001496509
UN,Unknown Ethnicity,,4189,15.48%,,,,,617718,23.14%,,,,,0,0.19498588,4184,15.48%,,,,,4183,15.477%,,,,,0.9905123,0.00010229144
2054-5,Black or African American,,3210,11.862%,,,,,527288,19.753%,,,,,0,0.21756804,3208,11.869%,,,,,3209,11.873%,,,,,0.9893903,0.000114388575
2135-2,Hispanic or Latino,,2490,9.201%,,,,,466123,17.461%,,,,,0,0.24481407,2489,9.209%,,,,,2488,9.205%,,,,,0.988131,0.0001279671
UNK,Unknown Race,,2088,7.716%,,,,,346542,12.982%,,,,,0,0.17352945,2087,7.722%,,,,,2086,7.718%,,,,,0.9871429,0.00013862115
2131-1,Other Race,,1136,4.198%,,,,,179520,6.725%,,,,,0,0.11138502,1136,4.203%,,,,,1138,4.21%,,,,,0.96581984,0.000368617
2028-9,Asian,,887,3.278%,,,,,112130,4.2%,,,,,4.827355e-14,0.04864962,887,3.282%,,,,,887,3.282%,,,,,1,0
1002-5,American Indian or Alaska Native,,134,0.495%,,,,,12938,0.485%,,,,,0.8043998,0.001505171,133,0.492%,,,,,132,0.488%,,,,,0.9508968,0.0005297272
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,1608,5.942%,,,,,39662,1.486%,,,,,0,0.2373102,1591,5.886%,,,,,1176,4.351%,,,,,5.5226617e-16,0.069714814
F30-F39,Mood [affective] disorders,,964,3.562%,,,,,22540,0.844%,,,,,0,0.18595517,948,3.507%,,,,,846,3.13%,,,,,0.014318818,0.021069296
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,243,0.898%,,,,,4328,0.162%,,,,,0,0.10146994,241,0.892%,,,,,138,0.511%,,,,,1.0998664e-7,0.045684278
Z81,Family history of mental and behavioral disorders,,78,0.288%,,,,,319,0.012%,,,,,0,0.071413934,45,0.166%,,,,,45,0.166%,,,,,1,0
9083,BMI,,11438,42.267%,22.798576,5.3852954,0.1,59.359467,733447,27.476%,19.219984,5.4062986,0.1,70,0,0.6632169,11415,42.234%,22.79665,5.382986,0.1,59.359467,11414,42.23%,22.898642,5.9638486,7.92,60.580658,0.17500582,0.01795365
9083,BMI,,11443,42.286%,,,,,733723,27.486%,,,,,0,0.31434068,11420,42.252%,,,,,11418,42.245%,,,,,0.9861056,0.00014980572
