Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
200 patients in Cohort 1 and 178915 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,13284,100%,13.557588,3.1381998,0,17,2669456,100%,5.714916,5.504634,0,17,0,1.7504113,13270,100%,13.557649,3.1390681,0,17,13270,100%,13.559081,3.137961,0,17,0.9703575,0.0004562034
Age,Current Age,,13284,100%,22.093872,4.3997355,6,37,2669456,100%,16.388418,6.5354853,5,37,0,1.0241499,13270,100%,22.095856,4.4005327,6,37,13270,100%,24.548756,4.5649033,6,37,0,0.5470987
2186-5,Not Hispanic or Latino,,10120,76.182%,,,,,1585615,59.398%,,,,,0,0.3651086,10110,76.187%,,,,,10110,76.187%,,,,,1,0
2106-3,White,,9706,73.065%,,,,,1468496,55.011%,,,,,0,0.38305664,9699,73.09%,,,,,9700,73.097%,,,,,0.9889565,0.00016992638
M,Male,,7481,56.316%,,,,,1331096,49.864%,,,,,0,0.12955661,7472,56.307%,,,,,7467,56.27%,,,,,0.95066273,0.00075961155
F,Female,,5793,43.609%,,,,,1335037,50.012%,,,,,0,0.12858075,5788,43.617%,,,,,5787,43.61%,,,,,0.990124,0.00015196064
UN,Unknown Ethnicity,,1979,14.898%,,,,,617718,23.14%,,,,,0,0.21119687,1977,14.898%,,,,,1977,14.898%,,,,,1,0
2054-5,Black or African American,,1526,11.488%,,,,,527288,19.753%,,,,,0,0.22915056,1523,11.477%,,,,,1524,11.485%,,,,,0.9846376,0.00023638751
2135-2,Hispanic or Latino,,1185,8.921%,,,,,466123,17.461%,,,,,0,0.25442895,1183,8.915%,,,,,1183,8.915%,,,,,1,0
UNK,Unknown Race,,947,7.129%,,,,,346542,12.982%,,,,,0,0.19554615,946,7.129%,,,,,946,7.129%,,,,,1,0
2131-1,Other Race,,552,4.155%,,,,,179520,6.725%,,,,,3.632581e-32,0.113475546,551,4.152%,,,,,548,4.13%,,,,,0.9263576,0.0011347113
2028-9,Asian,,344,2.59%,,,,,112130,4.2%,,,,,2.4422488e-20,0.0890383,344,2.592%,,,,,344,2.592%,,,,,1,0
1002-5,American Indian or Alaska Native,,47,0.354%,,,,,12938,0.485%,,,,,0.030176708,0.020253839,45,0.339%,,,,,45,0.339%,,,,,1,0
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,1193,8.981%,,,,,39662,1.486%,,,,,0,0.34142336,1184,8.922%,,,,,679,5.117%,,,,,7.010926e-34,0.14937457
F30-F39,Mood [affective] disorders,,723,5.443%,,,,,22540,0.844%,,,,,0,0.26584372,715,5.388%,,,,,496,3.738%,,,,,1.1799277e-10,0.0791467
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,135,1.016%,,,,,4328,0.162%,,,,,0,0.11177757,133,1.002%,,,,,92,0.693%,,,,,0.0060512037,0.033704087
Z81,Family history of mental and behavioral disorders,,33,0.248%,,,,,319,0.012%,,,,,0,0.06561622,19,0.143%,,,,,17,0.128%,,,,,0.7387119,0.004095
9083,BMI,,6339,47.719%,23.322756,5.3225007,0.15,59,733447,27.476%,19.219984,5.4062986,0.1,70,0,0.7647913,6330,47.702%,23.321718,5.322674,0.15,59,6332,47.717%,23.361485,5.896464,12.6,59.589596,0.6903897,0.007079967
9083,BMI,,6342,47.742%,,,,,733723,27.486%,,,,,0,0.42759925,6333,47.724%,,,,,6334,47.732%,,,,,0.9901948,0.00015087174
