Outcome,OutcomeLabel,CohortLabel,TimeWindow,N_Cohort1,N_Cohort2,Events_Cohort1,Events_Cohort2,Total_Events,Hazard_Ratio,CI_Lower,CI_Upper,Power_Pct,MDHR_80pct,MDHR_90pct,Across_1_00
Outcome_1,Substance Use Disorder,1x Concussion,5 year,100138,100120,4922,3103,8025,1.599978,1.529686,1.6735,100,1.0645452318692512,1.0750525051107747,FALSE
Outcome_1,Substance Use Disorder,2x Concussion,5 year,28299,28316,1548,1197,2745,1.376574,1.276535,1.484453,100,1.1128736458526265,1.1317205657003828,FALSE
Outcome_1,Substance Use Disorder,3x Concussion,5 year,11894,11889,765,599,1364,1.408762,1.26584,1.56782,100,1.1638277401864385,1.1918871752239462,FALSE
Outcome_2,Alcohol Dependence,1x Concussion,5 year,100678,100712,934,494,1428,1.895378,1.699579,2.113733,100,1.1598325201105157,1.1871544178732858,FALSE
Outcome_2,Alcohol Dependence,2x Concussion,5 year,28497,28524,311,182,493,1.813901,1.51065,2.178026,100,1.287051744160677,1.339077667109289,FALSE
Outcome_2,Alcohol Dependence,3x Concussion,5 year,12000,12005,170,105,275,1.782837,1.397725,2.274058,99.8,1.4019777211941953,1.4783720161715421,FALSE
Outcome_3,Cannabis Dependence,1x Concussion,5 year,100601,100544,2209,1302,3511,1.703454,1.590707,1.824192,100,1.0991777376137966,1.1156212597577315,FALSE
Outcome_3,Cannabis Dependence,2x Concussion,5 year,28456,28456,718,498,1216,1.528334,1.363243,1.713419,100,1.1743113987677987,1.2043182837124977,FALSE
Outcome_3,Cannabis Dependence,3x Concussion,5 year,11964,11965,366,253,619,1.587031,1.351965,1.862968,100,1.2525862760568827,1.297676062705556,FALSE
Outcome_4,Mood [Affective] Disorder,1x Concussion,5 year,98152,98329,9864,8469,18333,1.174958,1.141334,1.209574,100,1.0422507414692004,1.0490456148132155,FALSE
Outcome_4,Mood [Affective] Disorder,2x Concussion,5 year,27056,27259,3467,2869,6336,1.293786,1.231334,1.359405,100,1.0729297263489455,1.0848554057420057,FALSE
Outcome_4,Mood [Affective] Disorder,3x Concussion,5 year,11148,11253,1588,1354,2942,1.295107,1.204501,1.392529,100,1.108828476420077,1.126962282895255,FALSE
Outcome_5,Anxiety Disorder,1x Concussion,5 year,96176,96263,14394,13416,27810,1.078629,1.053555,1.104299,100,1.0341703840238468,1.0396411954334779,FALSE
Outcome_5,Anxiety Disorder,2x Concussion,5 year,25765,26650,4755,4306,9061,1.210805,1.16189,1.261779,100,1.0606393109258665,1.0704899510898414,FALSE
Outcome_5,Anxiety Disorder,3x Concussion,5 year,10396,10982,2065,1936,4001,1.227179,1.153375,1.305707,100,1.0926611358522988,1.1079721345456324,FALSE
Outcome_6,ADHD,1x Concussion,5 year,94911,96143,5880,5977,11857,0.9920109,0.9569335,1.028374,7.2,1.0528052856604668,1.0613468891539046,TRUE
Outcome_6,ADHD,2x Concussion,5 year,26068,26535,1717,1620,3337,1.12257,1.048884,1.201432,91.6,1.1018606469543764,1.118772505639538,FALSE
Outcome_6,ADHD,3x Concussion,5 year,10759,10930,681,671,1352,1.099113,0.9879349,1.222803,41.2,1.1646153758318403,1.1928205136541434,TRUE
Outcome_7,Psychosis,1x Concussion,5 year,100648,100757,271,221,492,1.227794,1.027959,1.466477,62.4,1.2873817040754885,1.3394748805682244,FALSE
Outcome_7,Psychosis,2x Concussion,5 year,28509,28529,78,79,157,1.037488,0.7587507,1.418624,5.6,1.5638984512541922,1.6776638178996255,TRUE
Outcome_7,Psychosis,3x Concussion,5 year,11998,11998,35,42,77,0.9005344,0.5749342,1.41053,7.5,1.8937150466939803,2.093442753824217,TRUE
Outcome_8,Opioid Use Disorder,1x Concussion,5 year,100810,100779,259,150,409,1.727181,1.412541,2.111908,100,1.3192441382650995,1.3779064201460833,FALSE
Outcome_8,Opioid Use Disorder,2x Concussion,5 year,28566,28548,62,55,117,1.198563,0.8336338,1.723242,16.5,1.6786893091592352,1.8209465840305044,TRUE
Outcome_8,Opioid Use Disorder,3x Concussion,5 year,12024,12014,38,31,69,1.351675,0.841001,2.17244,24,1.9631346586150644,2.182487534421746,TRUE
