"","Cohort","Cohort Name","Patients in Cohort","Patients with Outcome","Risk","Risk Ratio","95 % CI Lower","95 % CI Upper","Outcome","CohortFile","TimeWindow"
"1",1,"CX1 7.0",27408,429,0.0156523642732049,1.63117870722433,1.40034802027029,1.90005908273322,"Outcome_1","Concuss_1x","1 year"
"2",2,"Unnamed",27408,263,0.00959573847051955,NA,NA,NA,"Outcome_1","Concuss_1x","1 year"
"3",1,"CX1 7.0",27308,57,0.00208730042478394,2.0394416079014,1.29779081262527,3.20492488587252,"Outcome_2","Concuss_1x","1 year"
"4",2,"Unnamed",27358,28,0.00102346662767746,NA,NA,NA,"Outcome_2","Concuss_1x","1 year"
"5",1,"CX1 7.0",27408,198,0.00722416812609457,1.57142857142857,1.2576574108897,1.96348205299814,"Outcome_3","Concuss_1x","1 year"
"6",2,"Unnamed",27408,126,0.00459719789842381,NA,NA,NA,"Outcome_3","Concuss_1x","1 year"
"7",1,"CX1 7.0",25064,933,0.0372247047558251,1.67666814766046,1.51330894926992,1.85766170135674,"Outcome_4","Concuss_1x","1 year"
"8",2,"Unnamed",25854,574,0.0222015935638586,NA,NA,NA,"Outcome_4","Concuss_1x","1 year"
"9",1,"CX1 7.0",23741,1289,0.0542942588770481,1.84099417462299,1.68391454590956,2.01272657168307,"Outcome_5","Concuss_1x","1 year"
"10",2,"Unnamed",24617,726,0.0294918145996669,NA,NA,NA,"Outcome_5","Concuss_1x","1 year"
"11",1,"CX1 7.0",24721,380,0.0153715464584766,1.19531619937324,1.0316090796109,1.38500217255066,"Outcome_6","Concuss_1x","1 year"
"12",2,"Unnamed",25117,323,0.0128598160608353,NA,NA,NA,"Outcome_6","Concuss_1x","1 year"
"13",1,"CX1 7.0",27321,28,0.00102485267742761,1.75269023827825,0.948506307406014,3.23869545976662,"Outcome_7","Concuss_1x","1 year"
"14",2,"Unnamed",27363,16,0.00058473120637357,NA,NA,NA,"Outcome_7","Concuss_1x","1 year"
"15",1,"CX1 7.0",27408,14,0.00051079976649153,0.933333333333333,0.450607190002268,1.93319398899677,"Outcome_8","Concuss_1x","1 year"
"16",2,"Unnamed",27408,15,0.00054728546409807,NA,NA,NA,"Outcome_8","Concuss_1x","1 year"
"17",1,"CX1 7.0",27946,2102,0.0752164889429614,1.78589634664401,1.66615578532586,1.91424222695517,"Outcome_1","Concuss_1x","5 year"
"18",2,"Unnamed",27946,1177,0.0421169398124955,NA,NA,NA,"Outcome_1","Concuss_1x","5 year"
"19",1,"CX1 7.0",27846,357,0.0128205128205128,1.67217828900072,1.41268988293919,1.97933054095903,"Outcome_2","Concuss_1x","5 year"
"20",2,"Unnamed",27912,214,0.00766695328174261,NA,NA,NA,"Outcome_2","Concuss_1x","5 year"
